conversation_id,first_customer_text_clean,num_turns,is_resolved,customer_word_count,cluster,intent_label
2770899,"@115888 @SpotifyCares your app fucking sucks. Always deletes all my downloaded music. Downloading 53 out of 1,428 songs. Really thinking about switching to Apple Music.",2,True,25,4,app_bug
2078824,@SpotifyCares hi someone who isn't authorized is using my spotify acc. how can i prevent that person from doing so any further?,2,True,22,1,account_access
1312616,"Hey @115888 is there anyway I can turn off the ""this is..."" playlists? I kinda want to hear all the songs not a few that are picked for me",8,True,29,6,feature_request
93953,@115888 I have 15 load and it says insufficient balance im like is this click bait?,2,True,16,3,off_topic_chatter
958928,Umm...has anyone else noticed that @115888 has disappeared as an @1647 smart TV app? Any reason why?,2,True,17,3,off_topic_chatter
1206340,@115888 I dislike the new update. Every since I updated it I can no longer hold my finger on a song and get a sample of it and I dislike it,2,True,31,6,feature_request
525711,Thanks for the mention SpotifyCares!,2,True,5,2,general_inquiry
2284933,How can I become verified on spotify @SpotifyCares @115888,6,True,9,1,account_access
2190889,"@115888 MAKE THE SHUFFLE BUTTON BIGGER, PLEASE!",2,True,7,6,feature_request
2879844,@125633 @SpotifyCares Screen shot from artists.spotify backend,4,True,7,1,account_access
2578886,@115888 @117153 umm .. you guys just charged my account yet you stopped my premium subscription???,2,True,16,0,subscription_issue
1842984,@SpotifyCares Is there a way for podcasts I follow to automatically download the latest episode without manual effort?,2,True,18,2,general_inquiry
2246000,@SpotifyCares What made you think I would like this song,8,True,10,2,general_inquiry
1267249,@SpotifyCares why do you release a song and then take it away. The song in question is moneybag by jarren Benton.,4,True,21,2,general_inquiry
2293244,Hey @117168 I’m pretty sure that’s not her....,2,True,8,3,off_topic_chatter
1960628,@SpotifyCares I'm trying to add someone to my family plan but it won't let me,2,True,15,1,account_access
483952,.@115888 when can you ever recognize my phone number? Smh. 😒,2,True,11,3,off_topic_chatter
70690,@115888 I already upgrade to Premium last month and about to expired soon. How can I get this promo?,2,True,19,0,subscription_issue
1417606,@SpotifyCares why is Rudolph missing? #FinallyItsChristmas @242080,10,True,7,2,general_inquiry
1782457,My username for Spotify is allisonkeeskitay @115888 please let me get my refund back and respond,2,True,16,1,account_access
2720893,@115888 wtf why can’t I preview songs anymore???,2,True,8,6,feature_request
2293447,@7997 Hey really interested in the product marketing internship. Would love to chat with someone to learn more!,2,True,18,0,subscription_issue
1971994,y isn’t bad reputation on @115888,2,True,6,3,off_topic_chatter
2308812,@SpotifyCares Why do you guys treat us like dumb idiots? There piles of basic feature you guys have yet to implement like a settings button for Spotify Web. Having to copy every link into my desktop client as opposed to expecting the link to be opened by the client is dumb,2,True,51,4,app_bug
61170,@115888 please dont play ads with sound at the bottom of your web player while I'm trying to listen to down with the sickness.,8,True,24,6,feature_request
2891273,@SpotifyCares @115888 apparently Spotify is not responsible for what there staff do or say to customers. #AppleMusic #banspotify,2,True,18,2,general_inquiry
206600,@115888 can I download albums to hear offline at the computer or this is available only to playlists?,2,True,18,6,feature_request
1902595,"@SpotifyCares MS Groove user here. Followed migration steps, but when activating 60 days premium trial, says its not available in my area.",2,True,22,5,billing_dispute
2433038,@SpotifyCares my premium account seems free now for no reason. I haven't done anything? Why?,2,True,15,5,billing_dispute
2201013,@115888 Until wheb will this be available?,4,True,7,3,off_topic_chatter
420488,"If @115888 were to integrate an alarm clock function my/our mornings would be 1,000% easier and happier. #yourewelcome",2,True,18,3,off_topic_chatter
1298057,"@115888, ¿could you add a psychodelic visualizer in the Xbox App? Please. Thanks.",2,True,13,3,off_topic_chatter
2547376,"If you could filter an artist catalogue on Spotify so that their actual albums appeared first it would make finding their song/albums easier. Then after that, if the best of's etc were shown or in another section it would be grand. too much clutter @5795",4,True,45,2,general_inquiry
2053016,@SpotifyCares how do I stop horror movie ads from popping up bc that would be a really nice thing for you to do,2,True,23,2,general_inquiry
2905927,"@SpotifyCares interested by your trial offer but wondering what you define as a ‘month’. Are we talking calendar months, 28, 30 or 31 days?",2,True,24,5,billing_dispute
2292209,"@SpotifyCares Hey, could you check your DMs?",2,True,7,1,account_access
932751,@118266 tolong dibantu saya tidak bisa log in ke akun saya auliafarefa. Sudah pake fitur lupa password tapi email tidak masuk,2,True,21,0,subscription_issue
1789952,"@115888 is there anywhere online we can see listings of previous weeks' ""Discover Weekly?""",2,True,14,3,off_topic_chatter
