conversation_id,first_customer_text_clean,num_turns,is_resolved,customer_word_count
855,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,8,True,16
862,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,2,True,20
866,is there a way to find non-explicit songs that are explicit @SpotifyCares,4,True,12
1870,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",4,True,20
1875,Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭,4,True,18
1878,"@116130 why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",4,True,22
2799,@115888 In other news should probs upgrade from shitty 12GB package,2,True,11
2804,"So @115888 @3493 @SpotifyCares: three days later you’re still advertising a sale to me for which I’m geographically ineligible, this time on Facebook. You know you can choose where you want your ads to display on FB, don’t you?",4,True,39
2807,@SpotifyCares - you having a party without me?,2,True,8
2809,.@SpotifyCares any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help.,2,True,28
2811,@115888 Im already a premium user can i still avail this promo?,2,True,12
2855,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives?",4,True,37
2858,"@116380 Hey guys, I tried to update my payment method and add my Aussie visa credit card but it tell me that the card is for a ""non-spotify country""? I'm trying to migrate my account from France to Australia since I live here now and I can't do that unless I use an Aussie card",3,True,55
2861,"@116382 Booooourns. @SpotifyCares, could you please help out with this one?",2,True,11
2864,@115888 only credit card??,2,True,4
2869,"@SpotifyCares why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album",4,True,36
2873,"@SpotifyCares every single time someone sends a Spotify link, it never works the first time. I have to A L W A Y S press the link twice for it to work 🤦🏻‍♂️🤦🏻‍♂️",3,True,33
2937,@115888 the app is killing #phone #battery fixing this problem? How is this okay. I guess you are getting the money without any complaints,6,True,24
2939,"@115888 this layout looks nice, but really isn’t friendly to left handed users.. my thumb isn’t long enough to hit play!",2,True,21
2944,"Dear @115888 how do i get my discovery playlist to stop suggesting Dutch music to me, it's been a year",2,True,20
2946,@SpotifyCares is there anyway to move songs around so they're in my order and not the order of when I added them...if that makes sense?,2,True,25
