conversation_id,cluster,intent_label,first_customer_text_clean,num_turns,is_resolved,is_escalation,label_notes
2018942,1,account_access,"@SpotifyCares can’t sign into my premium account. Facebook or manual. Help, I’m lost without my music.",2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
712892,5,billing_dispute,@SpotifyCares because I came to the notice that the secondary accounts of my parent plan are deactivated,2,True,True,Billing Dispute: Financial issue requiring human account inspection.
1821861,2,general_inquiry,@SpotifyCares my life has been in a steady decline ever since you added videos to the Rap Caviar playlist. Please advise.,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1648946,6,feature_request,@115888 what is the keyboard shortcut for queuing a song on windows?,4,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1643556,2,general_inquiry,"@SpotifyCares hello spotify if you could please help me with this that would be great, i really need to listen to jessica simpson",2,True,False,"General Inquiry: Public information, catalog, or channel availability."
886016,5,billing_dispute,"@SpotifyCares Hello. I want to cancel my premium subscription, but I deleted my Facebook a while ago and I am unable to log in. Please help!",2,True,True,Account Access: User cannot access account / needs DM identity verification.
376884,1,account_access,"@SpotifyCares seems like my spotify account has been hacked, I cant login with facebook since yesterday. Can you help me retrieve it please?",2,True,True,Security/Hijack: Account compromise requires human verification.
2275358,6,app_bug,Since when does @115888 skip and stutter? This is what I pay premium for? I want a song to skip I'll dig out my Mum's old Wham records!,2,True,False,"App Bug: Playback stutter, crash, or local download glitch resolvable via self-serve troubleshooting."
1949236,0,subscription_issue,@115888 Its not free!ive been charged TWICE 😤,4,True,True,"Financial: Monetary charge discrepancy, billing failure, or refund request requiring account verification."
2190889,6,feature_request,"@115888 MAKE THE SHUFFLE BUTTON BIGGER, PLEASE!",2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1850753,4,app_bug,"@SpotifyCares Errrr guys, just updated my iPhone with iOS 11.0.2 to app 8.4.22.515 and I’ve lost control centre integration for playback?",4,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2582075,6,app_bug,why u keep deleting &gt;all&lt; my downloaded music tf @115888,2,True,False,"App Bug: Playback stutter, crash, or local download glitch resolvable via self-serve troubleshooting."
900911,6,feature_request,"@115888 Don't get me wrong, I love this song, but having it once would probably be enough",2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
59702,4,app_bug,"Spoke to @SpotifyCares. Nope, this is not something Spotify is equipped to do. Only ugly workarounds like logging off/on.",2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
1865819,0,subscription_issue,@115888 I am not able to sign up.,2,True,False,Subscription FAQ: How-to guidance on signing up or plan features (auto-handled).
86421,2,general_inquiry,@115888 WHY ISN'T SPOTIFY AVAILABLE IN VIETNAM????? PLEASE WE NEED IT 😠😠,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
2517261,5,billing_dispute,@SpotifyCares my wife signed up for spotify+starbucks deal ( but hasnt received the promo code yet - its been almost a week. Can you guys help?,2,True,True,Billing Dispute: Financial issue requiring human account inspection.
44355,0,subscription_issue,@115888 not able to pay 9 pesos through smart? :(,2,True,True,"Financial: Monetary charge discrepancy, billing failure, or refund request requiring account verification."
1935851,5,billing_dispute,"@SpotifyCares i need to cancel my subscription, however my subscription is under a Facebook account that i no longer have access too. help!",2,True,True,Account Access: User cannot access account / needs DM identity verification.
118842,3,off_topic_chatter,@115888 when is your amazing app going to get released in South Africa? Is it going to be released in South Africa?,4,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
2759213,2,general_inquiry,Why does spotify encourage people to use their phones while driving? You really think people arent gonna reach for their phones while driving when they get that “want a break from the ads?” Notification? @115888 @SpotifyCares @117168,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
83657,1,account_access,@SpotifyCares Hi! Can you please check your dms?,2,True,True,Account Access: User cannot access account / needs DM identity verification.
2535442,4,account_access,"@SpotifyCares Hi, I have Spotify premium and all of my playlists have disappeared. It also randomly plays music which I haven't chosen to play and says it is connected to another device. Please help Anna",2,True,True,Security: Account compromise or suspicious unauthorized device activity requires human intervention.
2917924,3,app_bug,@115888 problems with streaming at the moment?,6,True,False,Service Status: Inquiring about current streaming availability or temporary service interruption.
590140,3,off_topic_chatter,@115888 It’s 99kr not 9...,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
1403677,4,app_bug,Are you updating your app for the iPhone X anytime soon? Are you also enabling background downloading in the app? It’s really frustrating keeping your phone unlocked and in the app.@SpotifyCares,2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2347863,0,subscription_issue,Ah ada banyak lagu Indo yang okeh dan gak ada di @118266... Bisa request gak yah?,2,True,False,Subscription information resolvable via FAQ.
1964450,4,app_bug,PLEASE HELP ME SPOTIFY. I’VE BEEN FACING THIS PROBLEM FOR DAYS. I NEED MY MUSIC NOW. Y IS SO HARD TO GET THIS ONLINE. @181186,6,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2347867,0,subscription_issue,"@115888 good morning I'm having problems with the payment of the premium subscription family that could not be charged when I always get the visa visa the bill is not expired, it is international, how can I solve the problem and I try to load other means of payment",2,True,True,Subscription Billing: Account-specific payment issue or family plan billing failure.
1780586,5,billing_dispute,@SpotifyCares Just paid for a year of premium after switching banks but I'm still getting emails saying Spotify Payment Failure. Any help?,2,True,True,"Financial: Monetary charge discrepancy, billing failure, or refund request requiring account verification."
2915224,6,feature_request,I've picked up on @115888 shuffle algorithm and I just want it to be genuinely random. Can you turn off your algorithm for me? Thanks,2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
526253,2,general_inquiry,@SpotifyCares do you really care smh,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1695017,3,off_topic_chatter,.@115888 Jamaicans would love to access your service.,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
1739224,2,general_inquiry,@SpotifyCares Nvm it's back,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1078171,3,off_topic_chatter,@115888 Hello? Can I get some support?,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
1794140,4,app_bug,"@SpotifyCares Hey, I can't play any @124708 songs today? I get an error ""This song is not available"" Have they been pulled from the UK?",2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
499277,6,feature_request,Okay @115888 but when will you be streaming the Twilight soundtracks pls?,2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1864886,3,off_topic_chatter,"@115888 and the app is updated, so maybe that's the problem? Are you like @115858 and your updates fucking blow? #iOs11IsTheWorst",2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
2495868,2,general_inquiry,Lagi. Headphones udah dipasang. Spotify udah loading. Tapi nggak diplay. For about an hour. 😤,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
388602,5,billing_dispute,@SpotifyCares I have just DM'ed you about a payment problem,2,True,True,Billing Dispute: Monetary transactions and refund requests require human review.
1838026,6,feature_request,@115888 why do you region lock songs? My brother lives in japan and has a bunch of songs he keeps sending me but I can't listen to them,2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1833293,5,billing_dispute,"@SpotifyCares been charged for premium for years, lost it 3 mos ago and still being billed regularly. Account = __email__",2,True,True,Billing Dispute: Financial issue requiring human account inspection.
2513046,5,billing_dispute,@SpotifyCares I have been getting charged for the past year and I have the “free” subscription,2,True,True,Billing Dispute: Financial issue requiring human account inspection.
152220,3,billing_dispute,@115888 Y’all charged me 99kr instead of 9..... thanks for that,2,True,True,"Financial: Monetary charge discrepancy, billing failure, or refund request requiring account verification."
2066220,6,feature_request,@115888 where is the in app request a song option???? I need some songs you don’t have,2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
2352368,2,general_inquiry,@115888 how to connect my Indian Echo device? I have spotify premium. :/,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1193572,5,billing_dispute,"@SpotifyCares can you guy do something about the payment method , I have tried so many different cards and none isn’t working",2,True,True,Billing Dispute: Financial issue requiring human account inspection.
1032848,2,general_inquiry,@SpotifyCares why was the Moon Song by Karen O ft Ezra Koenig taken off of spotify,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
2572266,3,off_topic_chatter,@115888 is having way too many glitches for £9.99 a month!,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
1789642,1,account_access,"@115888 @SpotifyCares So all 4 of us get our @115888 disrupted, bc I don't want to use fb. This is so dumb.",2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
856693,0,subscription_issue,@117153 __email__ benden ödeme alındı fakat hala freeyim lütfen iade edin ki tekrar abone olayım.,2,True,False,Subscription information resolvable via FAQ.
483967,6,feature_request,@115888 are we going to have our personal top 100 songs of 2017 😆,6,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1105795,3,off_topic_chatter,highkey @115888 needs to hire me! I rock w them so heavy 😩,4,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
2031853,0,subscription_issue,@118266 kenapa akun saya masih versi free padahal saya sudah membayar/upgrade ke premium?,2,True,False,Subscription information resolvable via FAQ.
461469,0,subscription_issue,@115888 your thing is broken and every time i log in correctly it takes me back to the log in page. this is despicable. please help. i am so hungry. my wife is crying. let me in. LET ME IN.,6,True,False,Subscription information resolvable via FAQ.
1576759,4,app_bug,@SpotifyCares what's wrong with this app? Crashed 3 times in 30 minutes. 😑,2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
147420,4,app_bug,Nothing working Spotify you really need to take care of this,2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2886006,2,general_inquiry,"@SpotifyCares Martin hi, I am a premium spotify user __email__, I would like to know how the music rating system on spotify works. the thumbs up symbol. is it rated based on global spotify users, everyone's opinion? or a selected number of people? or is it by spotify?",2,True,False,"General Inquiry: Public information, catalog, or channel availability."
2322648,2,general_inquiry,"The new single named In Terra: One, will be released on these platforms; Spotify Amazon YouTube Music iTunes Apple Music Google Play Shazam",2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1095370,0,subscription_issue,"@115888 what is the point of this page? I click a link to upgrade to premium, card details ready. No way to actually upgrade? Madness",2,True,True,Subscription Billing: Account-specific payment issue or family plan billing failure.
1925375,4,app_bug,@116130 help! Is there a way to stop the app from having to re download all tracks when it signs out or updates ?,2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
1879526,1,account_access,@SpotifyCares @SpotifyCares they keep asking for my mobile even though I provide them with it every email &amp; when I forward the transcript they don’t reply,2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
2850079,3,off_topic_chatter,@115888 is your website down? I can't get it to load. Thanks.,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
2733015,4,app_bug,"Why does the @115888 app feel compelled to delete all 2,556 of my downloaded songs every two months? (iOS) @SpotifyCares",2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
863699,2,general_inquiry,holy shit spotify are you ok,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
2729374,6,feature_request,@115888 why does the These Girls by Why Don’t We have a different beat/pitch??,4,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
2216034,6,feature_request,I just want @115888 to put Macklemore’s older albums back on. Pls thank you. I have no shame,2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
2888947,1,account_access,@SpotifyCares I have an issue with my Spotify,2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
2759251,0,subscription_issue,@115888 y’all fake af for charging me for my premium. and not giving it to me,2,True,False,Subscription information resolvable via FAQ.
1918537,1,account_access,@SpotifyCares someone is trying to use my email to sign up. How do I cut them off?,2,True,False,General question about account settings (self-serve).
100188,0,subscription_issue,@117153 Your website is down. Cant upgrade my account thru my prepaid mobile number. Why?! 😩😩😩,2,True,False,Subscription information resolvable via FAQ.
552673,1,account_access,"@117153 @115888 having some issues with the Spotify auth API, getting status code 500s when making login requests, we're a team of three, an hour away from demoing our location-based music app, please help! We might actually have a chance to win prizes! ❤️😭#pleasehelp",4,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
1930413,3,off_topic_chatter,.@116130 why haven't you integrated your app with an alarm clock yet? #goodfeels #wakemeup,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
79463,3,off_topic_chatter,@115888 Why not promote £99 for a year?,2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
1694965,4,app_bug,"@SpotifyCares The web player isn't working. Judging by your mentions, it's not just me. Any uypdate on a fix?",2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2466904,1,account_access,Hey @115888 @SpotifyCares I lost all my songs and albums again,2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
2070840,3,off_topic_chatter,"@115888 please get more sponsors I'm tired of hearing the same ""Happy Death Day"" Ad 40x a day",2,True,False,"Off-Topic: Casual social interaction, memes, or artist praise."
2078345,5,billing_dispute,"@SpotifyCares hello, I got charged twice this month. Once 4.99$ which is monthly and one random 9.99$. What is this?",2,True,True,"Financial: Monetary charge discrepancy, billing failure, or refund request requiring account verification."
1094482,2,general_inquiry,@SpotifyCares Fantastic news! I just updated my Spotify desktop app and now I can listen to @146177 again! #Spotify,2,True,False,"General Inquiry: Public information, catalog, or channel availability."
2783487,1,account_access,@SpotifyCares Getting a 504 time out on Account profile and a 503 on Account page. Need to change my password,2,True,True,Account Access: Sign-in or credential roadblock requiring backstage check.
2615445,6,feature_request,"@115888 Why do I keep saying ""Perfect Album""???? It's Perfect Velvet",2,True,False,"Feature Request: UI suggestions, wishlist items, or playlist mechanics."
1062332,2,general_inquiry,"@SpotifyCares hello, can you upload the Solo version of ""Umbrella"" ( a Rihanna's song). The version with Jay-Z is just horrible...",2,True,False,"General Inquiry: Public information, catalog, or channel availability."
1933048,4,app_bug,@SpotifyCares either tell me how to do this or a feature request. Hard press on pause to have playback stop at the end of the current song?,2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2320366,0,subscription_issue,Hi @118266 aku udah coba beberapa kali re-purchase premium account dan sudah 4-5 kali coba transfer tapi kenapa ga bisa dan ga ada respons ya? Pls help! Thx,2,True,False,Subscription information resolvable via FAQ.
1865584,4,app_bug,"@SpotifyCares My downloads were dumped, 2nd time this week, 4th time this month. 😡",2,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
2264815,5,billing_dispute,@SpotifyCares hey I'm a student and signed up for the premium + Hulu package. Can't get Hulu to work though...,4,True,True,Billing Dispute: Financial issue requiring human account inspection.
1177829,4,app_bug,"@SpotifyCares I'm running the newest iOS &amp; your app but now, I cannot control my music from the lock screen. Any ideas why?",4,True,False,Technical Bug: Resolvable via standard self-serve troubleshooting (cache/reinstall).
700425,0,subscription_issue,"@115888 I have tried logging in over and over again, but you keep telling me that I'm using my facebook password, I would change my password and try logging in again, you would just keep telling me that password is invalid.",2,True,False,Subscription information resolvable via FAQ.
